#separator:tab
#html:true
#tags column:3
"32F + low MCV + low Hb + smear is shown below; Dx?<br><img src=""paste-d55f350f68556e191d781ead2389cc8dfe0a7ad6.jpg"">"	&nbsp;iron deficiency anemia (IDA); smear shows pale RBCs (i.e., with central pallor).	
Drugs that are anti-fibrinolytics?&nbsp;	→ tranexamic acid, aminocaproic acid (can help reverse tPA).	
MOA of methotrexate	"<div>&nbsp;reversible, competitive inhibitor of dihydrofolate reductase; first-line DMARD
for RA.</div>"	
Side-effects of methotrexate	pulmonary fibrosis, hepatotoxicity, neutropenia	
"How to mitigate toxicity
of methotrexate?&nbsp;"	→ folinic acid (leucovorin rescue), <b>not </b>folic acid	
MOA of 5-fluorouracil (5-FU)?&nbsp;	"<div>thymidylate
synthase inhibitor.</div>"	
MOA of 6-mercaptopurine (6-MP)?&nbsp;	"<div>&nbsp;PRPP amidotransferase inhibitor (purine
synthesis inhibitor).</div>"	
MOA of azathioprine?&nbsp;	<div>metabolized into 6-MP → then inhibits purine synthesis.</div>	
MOA of hydroxyurea?&nbsp;	"<div>ribonucleotide reductase
inhibitor (pyrimidine synthesis inhibitor).</div>
<div>&nbsp;</div>"	
MOA of mycophenolate mofetil?&nbsp;	→ inhibits IMP dehydrogenase (inhibits purine synthesis).	
Microtubule inhibitors?&nbsp;	→ colchicine, -bendazoles (mebendazole, albendazole), vincristine, vinblastine, taxanes (paclitaxel/docetaxel), griseofulvin	
Which microtubule inhibitor is the odd one out?&nbsp;	"<div>&nbsp;paclitaxel/docetaxel → hyperstabilize microtubules; the others inhibit
formation.</div>"	
Toxicity of vincristine?&nbsp;	neurotoxic.	
MOA of bleomycin?&nbsp;	"→ causes free radical
formation."	
Toxicity of bleomycin?&nbsp;	→ pulmonary fibrosis.	
MOA of doxorubicin (Adriamycin) / daunorubicin	DNA intercalators + cause free radicals.	
Toxicity of doxorubicin/daunorubicin?&nbsp;	→ dilated cardiomyopathy.	
How to mitigate the toxicity of doxorubicin/daunorubicin?&nbsp;	→ dexrazoxane → chelates free radicals.	
MOA of erlotinib?&nbsp;	"→ EGFR tyrosine kinase
inhibitor."	
Notable use of erlotinib?&nbsp;	non-small cell lung cancer (for some reason USMLE cares).	
MOA of cetuximab	monoclonal Ab against EGFR.	
MOA of imatinib?&nbsp;	"<div>bcr/abl tyrosine kinase
inhibitor for CML → causes fluid retention (edema).</div>"	
MOA of tamoxifen/raloxifene?&nbsp;	"<div>selective
estrogen-receptor modulators (SERMs).</div>"	
Important distinction between tamoxifen and raloxifene?&nbsp;	"<div>&nbsp;both are antagonists at ER receptors on breast tissue and
are agonists on bone, but only tamoxifen is partial agonist on endometrium (↑ risk of endometrial cancer with tamoxifen).</div>"	
MOA of trastuzumab (Herceptin)?&nbsp;	"→ monoclonal Ab against
HER-2/neu (ERBB2)."	
<div>Toxicity of trastuzumab? →</div>	&nbsp;cardiotoxicity.	
<div>MOA of irinotecan/topotecan? →</div>	&nbsp;topoisomerase&nbsp;I&nbsp;inhibitors.	
<div>MOA of etoposide/teniposide? →&nbsp;</div>	topoisomerase&nbsp;II&nbsp;inhibitors.	
<div>MOA of cyclophosphamide?</div>	&nbsp;→&nbsp;guanine&nbsp;N7&nbsp;alkylating&nbsp;agent.	
<div>Major side-effect of cyclophosphamide?&nbsp;</div>	→&nbsp;hemorrhagic&nbsp;cystitis&nbsp;due&nbsp;to&nbsp;metabolite&nbsp;called&nbsp;acrolein.	
"<div>How to mitigate
toxicity of cyclophosphamide? →</div>"	&nbsp;Mesna&nbsp;(contains&nbsp;thiol&nbsp;-SH&nbsp;group).	
<div>MOA of tacrolimus?&nbsp;</div>	<div>→ antagonist at FK506 receptor → decreases intracellular calcineurin →</div><div>&nbsp;</div>decreases IL-2 transcription → decreases T cell function<br>	
"<div>Important
side-effects of tacrolimus →</div>"	&nbsp;<b>type&nbsp;II&nbsp;diabetes,&nbsp;</b>nephrotoxicity.	
<div>MOA of cyclosporin?</div>	<div>&nbsp;→&nbsp;antagonist&nbsp;at&nbsp;cyclophilin&nbsp;receptor&nbsp;→&nbsp;decreases&nbsp;intracellular&nbsp;calcineurin&nbsp;→</div><div>&nbsp;</div><div>decreases&nbsp;IL-2&nbsp;transcription&nbsp;→&nbsp;decreases&nbsp;T&nbsp;cell&nbsp;function.</div>	
<div>Important side-effects of cyclosporin →&nbsp;</div>	nephrotoxicity,&nbsp;hypertension,&nbsp;gingival&nbsp;hyperplasia,&nbsp;hypertrichosis.	
<div>MOA of sirolimus&nbsp;</div>	<div>→&nbsp;antagonist&nbsp;at&nbsp;mTOR&nbsp;→&nbsp;<b>does&nbsp;not&nbsp;</b>decrease&nbsp;intracellular&nbsp;calcineurin&nbsp;→&nbsp;decreases</div><div>&nbsp;</div><div><i>responsiveness&nbsp;</i>to&nbsp;IL-2&nbsp;→&nbsp;decreases&nbsp;T&nbsp;cell&nbsp;function.</div>	
"<div>Important
side-effect of sirolimus&nbsp;</div>"	<div>→ dyslipidemia; notably&nbsp;<b>not&nbsp;</b>nephrotoxic.</div><div>&nbsp;</div><div>o&nbsp;&nbsp; Cyclosporin + tacrolimus → ↓ calcineurin + ↓ IL-2&nbsp;<i>transcription&nbsp;</i>+ nephrotoxic.</div><div>&nbsp;</div><div>o&nbsp;&nbsp; Sirolimus → no change calcineurin + ↓&nbsp;<i>responsiveness&nbsp;</i>to IL-2 +&nbsp;<b>not&nbsp;</b>nephrotoxic.</div>	
"<div>Important points
about cisplatin&nbsp;</div>"	→&nbsp;causes&nbsp;oto-&nbsp;and&nbsp;neurotoxicity;&nbsp;all&nbsp;over&nbsp;2CK-level&nbsp;neuro&nbsp;shelf&nbsp;exams&nbsp;as&nbsp;causing&nbsp;“toxic&nbsp;neuropathy”&nbsp;(chemo-induced&nbsp;neuropathy).	
"<div>How to mitigate toxicity of
cisplatin?&nbsp;</div>"	→&nbsp;saline infusion (NaCl, were the Cl-&nbsp;helps), followed by&nbsp;amifostine.	
MOA of rituximab? 	→&nbsp;CD20&nbsp;inhibitor&nbsp;on&nbsp;B&nbsp;cells	
"<div>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Patient has high aldosterone. What are the arrows (i.e., ↑ or ↓) for serum Na+, K+, pH, bicarb, and CO2?</div>"	"<div>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
↑ <b>Na</b><b>+</b><b>, </b>↓ <b>K</b><b>+</b><b>, </b>↑ <b>pH, </b>↑ <b>bicarb, </b>↑ <b>CO2.</b></div>
<div><b>&nbsp;</b></div>
<div>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Remember that all arrows go
the same direction as aldosterone, except for potassium, which is the opposite.</div>
<div>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Aldosterone upregulates the
sodium-potassium ATPase pump on the basolateral membrane of the cortical collecting duct in the kidney.
This causes Na+ reabsorption
and K+ secretion.
Water follows sodium; this will function
to increase volume
status and blood
pressure.</div>
<div>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
<span style=""background-color: rgb(255, 0, 0);"">Aldosterone also upregulates an
apical H+-ATPase
pump</span>. If protons are kicked out into the urine, the patient develops metabolic alkalosis (i.e., bicarb
goes up).</div>
<div>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
CO2 is acidic. If we have a
metabolic alkalosis, we want to retain acidic CO2, so we slow respiratory rate – i.e.,
metabolic alkalosis with respiratory compensation.</div>"	
"<div>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Patient has low aldosterone. What are the arrows (i.e.,
↑ or ↓) for serum Na+, K+, pH, bicarb, and CO2?</div>"	"<div>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
↓ <b>Na</b><b>+</b><b>, </b>↑ <b>K</b><b>+</b><b>, </b>↓ <b>pH, </b>↓ <b>bicarb, </b>↓ <b>CO2.</b></div>
<div><b>&nbsp;</b></div>
<div>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Remember that all arrows go
the same direction as aldosterone, except for potassium, which is the opposite.</div>
<div>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Decreased aldosterone would
mean metabolic acidosis (normal anion gap in this case) with respiratory compensation.</div>
<div>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
I will go into more detail
on different things
as we move along. However
for starters, you knowing the above
arrows for high versus low aldosterone is paramount for USMLE, which is why I
started this way.</div>"	
<div>&nbsp; Patient is given lisinopril. What change will this cause (i.e., ↑ or ↓) in renin, angiotensin I, angiotensin II, and aldosterone?</div>	"<h2><span style=""font-weight: normal;"">↑</span><span style=""font-weight: normal;""> </span>Renin,
<span style=""font-weight: normal;"">↑</span><span style=""font-weight: normal;""> </span>angiotensin
I, <span style=""font-weight: normal;"">↓</span><span style=""font-weight: normal;""> </span>angiotensin II, <span style=""font-weight: normal;"">↓</span><span style=""font-weight: normal;""> </span>aldosterone.</h2>
<div><b>&nbsp;</b></div>
<div>&nbsp;Lisinopril is an ACE
inhibitor. This will decrease cleavage of AT I into AT II in the lungs. AT II
and aldosterone will go down as a result.</div><div><br></div>
<div>Lower aldosterone will cause
reduced fluid status, which will cause renin secretion to go up to compensate. This will lead to increased
angiotensin I production (renin cleaves hepatically synthesized angiotensinogen into AT I in the plasma).</div>
<div>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Another way to think
of it is: if you block the step between
AT I and AT II, substrates on the left go up; products on the right go down.</div>"	
<div>Patient is given valsartan. What change will this cause (i.e., ↑ or ↓) in renin, angiotensin I, angiotensin II, and aldosterone?</div>	"<h2><span style=""font-weight:normal;mso-bidi-font-weight:bold"">-&nbsp;</span><span style=""font-weight: normal;"">↑</span><span style=""font-weight: normal;""> </span>Renin,
<span style=""font-weight: normal;"">↑</span><span style=""font-weight: normal;""> </span>angiotensin
I, <span style=""font-weight: normal;"">↑</span><span style=""font-weight: normal;""> </span>angiotensin II, <span style=""font-weight: normal;"">↓</span><span style=""font-weight: normal;""> </span>aldosterone.</h2>
<div><b>&nbsp;</b></div>
<div>-Valsartan is an angiotensin II receptor blocker
(ARB).</div>
<div>&nbsp;</div>
<div>-Unlike with ACE inhibitors, there is no inhibition of the synthesis
of AT II.</div>
<div>&nbsp;</div>
<div>-Since the AT II receptors
are blocked, aldosterone synthase activity in the zona glomerulosa of the adrenal
cortex goes down.</div><div><br></div>
<div>-&nbsp; Lower aldosterone causes
lower fluid status, so renin goes up to compensate. This in turn leads to more angiotensinogen cleavage
into angiotensin I.</div><div><br></div>
<div>-&nbsp;More angiotensin I is then cleaved into angiotensin II in the lungs.</div>"	
<div>Patient is given spironolactone. What change will this cause (i.e., ↑ or ↓) in renin, angiotensin I, angiotensin II, aldosterone, and K+ levels?</div>	"<h2><span style=""font-weight:normal;mso-bidi-font-weight:bold"">-&nbsp;&nbsp;</span><span style=""font-weight: normal;"">↑</span><span style=""font-weight: normal;""> </span>Renin,
<span style=""font-weight: normal;"">↑</span><span style=""font-weight: normal;""> </span>angiotensin
I, <span style=""font-weight: normal;"">↑</span><span style=""font-weight: normal;""> </span>angiotensin II, <span style=""font-weight: normal;"">↑</span><span style=""font-weight: normal;""> </span>aldosterone, <span style=""font-weight: normal;"">↑</span><span style=""font-weight: normal;""> </span>K+.</h2>
<div><b>&nbsp;</b></div>
<div>-Spironolactone is an
aldosterone receptor antagonist. Blocking aldosterone receptor will cause all substrates to increase.</div><div><br></div>
<div>-Since aldosterone causes
potassium secretion from the blood into the urine, blocking aldosterone receptors can cause hyperkalemia.</div><div><br></div>
<div>-&nbsp;High potassium can also be caused by ACE inhibitors and ARBs, since they decrease
aldosterone.</div>
<div>&nbsp;</div>
<div>-&nbsp; It should be noted that
spironolactone is anti-androgenic and can cause gynecomastia. There is less risk of this with eplerenone.</div>"	
"<div>If a patient is given
enalapril, what will happen (i.e., ↑, ↓, or ↔) to left ventricular
afterload, systemic arteriolar diameter,
renal afferent arteriolar diameter, and renal efferent arteriolar diameter?</div>"	"<h2><span style=""font-weight:normal;mso-bidi-font-weight:bold"">-</span><span style=""font-weight: normal;"">↓</span><span style=""font-weight: normal;""> </span>LV
afterload, <span style=""font-weight: normal;"">↑</span><span style=""font-weight: normal;""> </span>systemic arteriolar diameter, <span style=""font-weight: normal;"">↔</span><span style=""font-weight: normal;""> </span>afferent diameter, <span style=""font-weight: normal;"">↑</span><span style=""font-weight: normal;""> </span>efferent diameter.</h2>
<div><b>&nbsp;</b></div>
<div>-&nbsp;AT II is a potent
vasoconstrictor. Not only does it increase aldosterone synthase activity in the
zona glomerulosa of the adrenal
cortex, but it also constricts peripheral arterioles.</div><div><br></div>
<div>-&nbsp;&nbsp;ACEi (e.g., enalapril) and ARBs decrease
afterload on the LV by relieving the constrictive effects
of AT II on peripheral arterioles.</div><div><br></div>
<div>-Some students will get
pedantic about potential minor effects of AT II on the afferent arterioles.
This will get you questions wrong on
USMLE. Do not over-think things. The exam assesses AT II as a potent vasoconstrictor at the <b>efferent </b>arterioles. This increases
filtration fraction and maintains GFR in the
setting of reduced
renal blood flow.</div>
AT II will constrict (i.e., ↓ diameter) of efferent arterioles. Therefore ACEi/ARBs ↑ diameter<br>"	
"32F + abdominal bruit + BP of 160/100.
What are the arrows (i.e., ↑ or ↓) for Na+, K+, pH, bicarb, and CO2?"	"<div>-&nbsp;&nbsp;↑ <b>Na</b><b>+</b><b>, </b>↓ <b>K</b><b>+</b><b>, </b>↑ <b>pH, </b>↑ <b>bicarb, </b>↑ <b>CO2.</b></div>
<div><b>&nbsp;</b></div>
<div>-&nbsp;Diagnosis is fibromuscular
dysplasia (FMD), which is tunica media proliferation, generally in women 20s-50s.
This results in decreased renal perfusion
à renin secretion by JGC
à RAAS activation.</div><div><br></div>
<div>-&nbsp;This is <b>not </b>the same as renal artery stenosis, which is due to atherosclerosis. The vignette will instead be a patient
with,<span style=""background-color: rgb(255, 0, 0);"">
e.g., intermittent claudication, Hx of CABG, or many years of smoking.</span></div>"	
"<div>74M + hyperpigmentation of
the forearms + eosinophils 23% + 6-month Hx of fatigue + BP 100/60. What are the arrows
(i.e., ↑ or ↓) for Na+,
K+, pH, bicarb, CO2, and ACTH?</div>"	"<div>- ↓ <b>Na</b><b>+</b><b>, </b>↑ <b>K</b><b>+</b><b>, </b>↓ <b>pH, </b>↓ <b>bicarb, </b>↓ <b>CO2, </b>↑ <b>ACTH.</b></div>
<div><b>&nbsp;</b></div>
<div>- Patient has Addison disease
(primary hypoadrenalism). I’ve seen it in young and old patients on NBME. Most commonly,
the etiology is autoantibodies against
21-hydroxylase in the adrenal
cortex.</div><div><br></div>
<div>- Patients with Addison
disease have ↓ aldosterone and ↓ cortisol.</div>
<div>&nbsp;</div>
<div>-↓ cortisol results
in ↓ negative feedback at hypothalamus and anterior pituitary
à ↑ CRH and ACTH secretion. POMC is precursor to both
ACTH and a-MSH. The latter (as well as ACTH
to some extent) causes hyperpigmentation.</div><div><br></div>
<div>-In Addison, the adrenal
gland itself is the location of the pathology, so aldosterone <i>and </i>cortisol are low. In secondary hypoadrenalism (i.e., ↓ ACTH production by the anterior pituitary), only cortisol is low; in the latter case, there is nothing wrong with the adrenal gland,
so AT II can still ↑ aldosterone synthesis without a problem.</div><div><br></div>
<div>-&nbsp; Eosinophilia
is common in adrenal insufficiency. This is HY, especially on 2CK IM
Qs. Don’t go chasing stool ova and parasites. Cortisol can function
to sequester eosinophils in the spleen.</div>"	
"<div>45M + one-year Hx of fatigue
and darkening of skin of forearms + BP 100/60; exogenous ACTH is administered and shows marginal
increase in cortisol
levels. Prior to administration of ACTH, what are the arrows (i.e., ↑, ↓, or ↔) for this patient’s
serum ACTH, eosinophils, Na+, K+, pH, bicarbonate, and CO2?</div>"	"<div>-&nbsp; ↑ <b>ACTH, </b>↑ <b>eosinophils</b><b>, </b>↓ <b>Na</b><b>+</b><b>, </b>↑ <b>K</b><b>+</b><b>, </b>↓ <b>pH, </b>↓ <b>bicarbonate, </b>↓ <b>CO2.</b></div>
<div><b>&nbsp;</b></div>
<div>-&nbsp;&nbsp;This patient has Addison
disease. The ACTH stimulation test is used to diagnose, which will show a very marginal increase
in serum cortisol, thereby demonstrating the patient has adrenal insufficiency (i.e., unable to adequately make cortisol in response to ACTH).</div>
<div>-&nbsp; Healthy patients will demonstrate a robust increase
in serum cortisol
in response to exogenous ACTH.</div>
<div>&nbsp;</div>
<div>-&nbsp;Patients with Addison have
low serum cortisol and aldosterone. Low cortisol means less negative feedback at the hypothalamus and anterior pituitary, leading to increased CRH and ACTH levels.</div><div><br></div>
<div>-Eosinophilia
is a common finding in Addison disease.
This is especially prevalent in 2CK-level IM Qs.</div>
<div>&nbsp;</div>
<div>Once again, do not go chasing
stool ova and parasites.</div>
<div>&nbsp;</div>
<div>-Low aldosterone means less
sodium reabsorption, as well as less potassium and proton secretion in the cortical collecting duct of the distal kidney.
Retention of protons
means serum bicarb
is low.</div>
CO2 is low because the patient will have metabolic
acidosis, so it is blown off as compensation<br>"	
"<div>39F + 20-year-Hx of rheumatoid arthritis
managed with NSAIDs,
prednisone, methotrexate, and infliximab.</div>
<div>&nbsp;</div>
<div>She has Cushingoid appearance. What are the arrows (i.e., ↑, ↓, or ↔) for her ACTH and cortisol levels?</div>"	"<div>-&nbsp; ↓ <b>ACTH, </b>↓ <b>cortisol.</b></div>
<div><b>&nbsp;</b></div>
<div>-&nbsp; &nbsp; Students get this question wrong all of the time.</div>
<div>&nbsp;</div>
<div>-&nbsp;&nbsp;Prednisone
is <b>not </b>the same as cortisol.
It is merely a cortisol
(i.e., glucocorticoid) analogue.</div>
<div>&nbsp;</div>
<div>-Prednisone will induce
negative feedback at the hypothalamus and anterior pituitary, causing a reduction in CRH and ACTH.</div>
<div>-&nbsp;Because ACTH is low, the
adrenal gland is under-stimulated, and endogenous cortisol production decreases.</div>
<div>-&nbsp;Students erroneously assume cortisol must be high if a patient is Cushingoid in appearance. The ↓ for ACTH and cortisol in the setting
of exogenous glucocorticoids is exceedingly high-yield for USMLE.</div>
<div>-&nbsp; &nbsp;If the USMLE tells you the
patient is on prednisone, that makes the question easy. They will sometimes say a Cushingoid patient with an
autoimmune disease, e.g., SLE, IBD, RA is “managed with multiple medications,” and just assume
you can infer he/she is on prednisone.</div>
<div>-&nbsp; Not hard now that we discussed it. But students
fuck this up a lot.</div>"	
